_Id,Program,Round,Recipient Name,Physical Address Of Recipient - Suburb/Location,Physical Address Of Recipient - Post Code,University Collaborator (If Applicable),Other Partners; Collaborators (If Applicable),Investment/Project Title,Primary Location Of Activity/Project - Suburb,Primary Location Of Activity/Project - Post Code,Multiple Locations Of Activity/Project (If Applicable),Approval Date,Local Government /Council,Rap Region,State Electorate,Actual Contractual Commitment ($)
358,Ignite Ideas Fund,Aq Ignite Ideas Fund 2021-22 Round 8,Jennifer Isobel Mckee,Etty Bay,4858.0,,,Compliance Management Digitalisation For Horticulture Industry,Etty Bay,4858.0,,2021-12-20,Cassowary Coast (R),Far North Queensland,Hill,92400
359,Ignite Ideas Fund,Aq Ignite Ideas Fund 2021-22 Round 8,Lyro Robotics Pty Ltd,Eight Mile Plains,4113.0,,,Commercialisation Of Automated Produce Packing System,Eight Mile Plains,4113.0,,2021-12-20,Brisbane (C),Brisbane And Redlands,Toohey,100000
360,Ignite Ideas Fund,Aq Ignite Ideas Fund 2021-22 Round 8,Lixia Pty Ltd,Townsville City,4810.0,,,Pole-Top Sensor For Power Grid Safety And Asset Life Extension,Townsville City,4810.0,,2021-12-20,Townsville (C),Townsville,Townsville,200000
361,Ignite Ideas Fund,Aq Ignite Ideas Fund 2021-22 Round 8,Span Engineering Pty Ltd,Emerald,4720.0,,,Doover - Industrial Remote Control System For Agriculture,Emerald,4720.0,,2021-12-20,Central Highlands (R),Central Queensland,Gregory,100000
362,Ignite Ideas Fund,Aq Ignite Ideas Fund 2022-23 Round 9,Elemental Instruments Pty Ltd,Fairfield,4103.0,,,Precision Magnetic Fields For Scientific And Industrial Applications,Fairfield,4103.0,,2022-11-01,Brisbane (C),Brisbane And Redlands,Miller,45000
363,Ignite Ideas Fund,Aq Ignite Ideas Fund 2022-23 Round 9,Bloom Impact Investing Pty Ltd,Newstead,4006.0,,,Digital Platform To Make Renewables And Cleantech Investments Accessible,Newstead,4006.0,,2022-11-01,Brisbane (C),Brisbane And Redlands,Mcconnel,100000
364,Ignite Ideas Fund,Aq Ignite Ideas Fund 2022-23 Round 9,Flametree Technologies Pty Ltd,West End,4101.0,,,Portfolio Risk Analysis Software,West End,4101.0,,2022-11-01,Brisbane (C),Brisbane And Redlands,South Brisbane,100000
365,Ignite Ideas Fund,Aq Ignite Ideas Fund 2022-23 Round 9,Emerging Healthcare Operations Pty Ltd,Milton,4064.0,,,Virtual Paediatric Emergency Care For Queensland Health Services,Milton,4064.0,,2022-11-01,Brisbane (C),Brisbane And Redlands,Cooper,100000
366,Ignite Ideas Fund,Aq Ignite Ideas Fund 2021-22 Round 8,Tomkat Global Solutions Pty Ltd,Kurrimine Beach,4871.0,,,Commercialisation Of The Koolpak,Kurrimine Beach,4871.0,,2021-12-20,Cassowary Coast (R),Far North Queensland,Hill,150000
367,Ignite Ideas Fund,Aq Ignite Ideas Fund 2021-22 Round 8,Spatial Innovation Pty Ltd,Brighton,4017.0,,,Flood Information Portal For Local Government,Brighton,4017.0,,2021-12-20,Brisbane (C),Brisbane And Redlands,Sandgate,78000
368,Ignite Ideas Fund,Aq Ignite Ideas Fund 2021-22 Round 8,World'S Biggest Garage Sale Pty Ltd,Morningside,4170.0,,,Retail Returns Resource Recovery Platform,Morningside,4170.0,,2021-12-20,Brisbane (C),Brisbane And Redlands,Bulimba,100000
369,Ignite Ideas Fund,Aq Ignite Ideas Fund 2021-22 Round 8,Urpla Software Pty Ltd,Southport,4215.0,,,Simplifying Development Applications Across The Globe,Southport,4215.0,,2021-12-20,Gold Coast (C),Gold Coast,Southport,195000
370,Ignite Ideas Fund,Aq Ignite Ideas Fund 2020-21 Round 7,Anti Ordinary Pty Ltd,Newstead,4006.0,,,Anti Ordinary Global Launch,New Farm,4006.0,,2020-12-02,Brisbane (C),Brisbane And Redlands,Mcconnel,100000
371,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Haystack Australia Pty Ltd,Banyo,4014.0,,,Commercialising Haystack For Enterprise Saas,Banyo,4014.0,,2019-08-19,Brisbane (C),Brisbane And Redlands,Nudgee,100000
372,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Gelomics Pty Ltd,Kelvin Grove,4059.0,,,Next-Generation 3D Cell Culture Technologies,Kelvin Grove,4059.0,,2019-08-19,Brisbane (C),Brisbane And Redlands,Mcconnel,98600
373,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Holospace Pty Ltd,Ipswich,4305.0,,,Holospace Air -  Border Protection,Ipswich,4305.0,"Cairns, Queensland",2019-08-19,Ipswich (C),Ipswich,Ipswich,100000
374,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Helitak Fire Fighting Equipment Pty Ltd,Noosaville,4566.0,,,Helitak Black Hawk Fire Tank,Noosaville,4566.0,,2019-08-19,Noosa (S),Sunshine Coast,Noosa,100000
375,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Docsols Pty Ltd,Rocklea,4106.0,,,Commercialisation Of The Docsols Platform,Rocklea,4106.0,,2019-08-19,Brisbane (C),Brisbane And Redlands,Miller,100000
376,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Digital Technologies Institute Pty Ltd,Middle Park,4074.0,,,Artificial Intelligence Stem Platform,Middle Park,4074.0,Workshops Are Required Across Australia,2019-08-19,Brisbane (C),Brisbane And Redlands,Mount Ommaney,100000
377,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Gaardtech Pty Ltd,Chermside,4032.0,,,Gaardtech Global Commercialisation,Chermside,4032.0,"Kedron, Queensland",2019-08-19,Brisbane (C),Brisbane And Redlands,Stafford,100000
378,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Field Ql Pty Ltd,Kenmore,4069.0,,,Real Estate Lease Analysis Platform,Kenmore,4069.0,,2019-08-19,Brisbane (C),Brisbane And Redlands,Moggill,100000
379,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Ikara Group Pty Ltd,Brisbane City,4000.0,,,Commercialisation Of The Echelon Technology,Brisbane City,4000.0,,2019-08-19,Brisbane (C),Brisbane And Redlands,Mcconnel,100000
380,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,M3Dicine Pty Ltd,Eight Mile Plains,4113.0,,,Commercialising Iot Stethoscope With Ai,Eight Mile Plains,4113.0,California Usa (Bd Office),2019-08-19,Brisbane (C),Brisbane And Redlands,Toohey,200000
381,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Lincrobotics Pty Ltd,Oxenford,4210.0,,,Grass Advertising Robots,Oxenford,4210.0,,2019-08-19,Gold Coast (C),Gold Coast,Theodore,185449
382,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Marine Composites Pty Ltd,Hemmant,4174.0,,,Fibre Composite Marine Piles,Hemmant,4174.0,,2019-08-19,Brisbane (C),Brisbane And Redlands,Lytton,100000
383,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Macrobotix Pty Ltd,Hamilton,4007.0,,,Painting Robotics-As-A-Service Commercial Launch,Hamilton,4007.0,Client Painting Sites,2019-08-19,Brisbane (C),Brisbane And Redlands,Clayfield,100000
384,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Inndox Pty Ltd,Fortitude Valley,4006.0,,,Commercialisation Of Inndox ‘Builder Handover’,Fortitude Valley,4006.0,,2019-08-19,Brisbane (C),Brisbane And Redlands,Mcconnel,100000
385,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Immersive Robotics Pty Ltd,Fortitude Valley,4006.0,,,Commercialising 4K120 Wireless Streaming Solution,Fortitude Valley,4006.0,"South Korea, Japan",2019-08-19,Brisbane (C),Brisbane And Redlands,Mcconnel,199739
386,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Laird And Pascoe Trading Company Pty Ltd,Bridgeman Downs,4035.0,,,Frozen Herbs & Spices,Bridgeman Downs,4035.0,"Forest Glen, Qld",2019-08-19,Brisbane (C),Brisbane And Redlands,Aspley,100000
387,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Kynd Pty Ltd,Burleigh Heads,4220.0,,,Regional Ndis Market Expansion,Burleigh Heads,4220.0,"Qld: Northern Gold Coast, Scenic Rim, Toowoomba, Warwick, Dalby, Mt Isa, Cairns, Townsville, Mackay, Rockhampton, Gladstone, Bundaberg.",2019-08-19,Gold Coast (C),Gold Coast,Burleigh,200000
388,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Cyborg Dynamics Engineering Pty Ltd,Murarrie,4172.0,,,Eye Align Automated Construction Sketcher,Murarrie,4172.0,"Substation 33, 31 Mary St, Kingston Qld 4114",2019-08-19,Brisbane (C),Brisbane And Redlands,Bulimba,90000
389,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Welio Pty Ltd,Taringa,4068.0,,,Commercialising Welio For Gp Econsults,Taringa,4068.0,,2019-08-19,Brisbane (C),Brisbane And Redlands,Maiwar,100000
390,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 4,Wrappt Pty Ltd,West End,4101.0,,,Vs Video Public Launch,West End,4101.0,,2018-07-23,Brisbane (C),Brisbane And Redlands,South Brisbane,100000
391,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Abm Technologies Australia Pty Ltd,Brisbane City,4000.0,,,International Growth Of Ace-Insights Solution,Toowong,4066.0,"Vancouver, Canada And North America",2019-08-19,Brisbane (C),Brisbane And Redlands,Mcconnel,100000
392,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,(Ui!) The Urban Institute Pty Ltd,Sippy Downs,4556.0,,,Urbaninsight Smart City Data Platform,Sippy Downs,4556.0,,2019-08-19,Sunshine Coast (R),Sunshine Coast,Buderim,100000
393,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 4,Visional Technologies Pty Ltd,Taringa,4068.0,,,Revolutionalising Ultra-Fast Electric Vehicle (Ev) Charging,Taringa,4068.0,,2018-07-23,Brisbane (C),Brisbane And Redlands,Maiwar,85408
394,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 4,Travelbybit Pty Ltd,Fortitude Valley,4006.0,,,Commercialisation Of Qld'S First Digital Currency Gift Voucher Platform,Sandgate,4017.0,,2018-07-23,Brisbane (C),Brisbane And Redlands,Mcconnel,100000
395,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 4,Vygo Pty Ltd,Fortitude Valley,4006.0,,,Vygo Commercialisation,Fortitude Valley,4006.0,,2018-07-23,Brisbane (C),Brisbane And Redlands,Mcconnel,99930
396,Ignite Ideas Fund,Aq Ignite Ideas Fund 2017-18 Round 4,Vostronet (Australia) Pty Ltd,Brisbane City,4000.0,,,Commercialisation Of The Q2Tm Software-Defined Network Platform,Brisbane City,4000.0,,2018-07-23,Brisbane (C),Brisbane And Redlands,Mcconnel,100000
397,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Alumtek Minerals Pty Ltd,Belmont,4153.0,,,Project Reclaim Bauxite Residue Valorisation,Gladstone,4680.0,"Jk Tech 40 Isles Indooroopilli   4068,           Sgs Australia 41 Victoria Malaga Wa 6090",2019-08-19,Brisbane (C),Central Queensland,Chatsworth,100000
398,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Codestream Solutions Pty Ltd,Fortitude Valley,4006.0,,,Floodmapp - Predictive Flood Mapping,Fortitude Valley,4006.0,,2019-08-19,Brisbane (C),Brisbane And Redlands,Mcconnel,100000
399,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Chromoxyion Pty Ltd,Karana Downs,4306.0,,,Sex Selection In Farm Animals,Karana Downs,4306.0,"Gatton, Queensland",2019-08-19,Brisbane (C),Ipswich,Moggill,100000
400,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Cubiko Pty Ltd,Spring Hill,4000.0,,,Commercialisation Of Cubiko Multisite (Cm),Spring Hill,4000.0,,2019-08-19,Brisbane (C),Brisbane And Redlands,Mcconnel,100000
401,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Core Resources Pty Ltd,Albion,4010.0,,,Toowong Process,Albion,4010.0,,2019-08-19,Brisbane (C),Brisbane And Redlands,Clayfield,200000
402,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Arthritis Relief Plus Limited,Bundall,4217.0,,,Novel Osteoarthritis Drug Us Launch,Bundall,4217.0,"Worongary, Qld; Runaway Bay, Qld; Southport, Qld; Tulsa Ok Usa",2019-08-19,Gold Coast (C),Gold Coast,Southport,200000
403,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Aquafarms Queensland Pty Ltd,Urangan,4655.0,,,Scaling To Export,Urangan,4655.0,,2019-08-19,Fraser Coast (R),Wide Bay,Hervey Bay,100000
404,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Australian Kunzea Pty Ltd,Coolangatta,4225.0,,,Accelerate Commercialisation Of Kunzea Products,Coolangatta,4225.0,"Worongary, Queensland; Brisbane, Queensland",2019-08-19,Gold Coast (C),Gold Coast,Currumbin,99928
405,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Aurtra Pty Ltd,Corinda,4075.0,,,Automated Global Provisioning,Corinda,4075.0,,2019-08-19,Brisbane (C),Brisbane And Redlands,Mount Ommaney,199456
406,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Mcgregor Diesel Pty Ltd Atf The S & A Mcgregor Trust,Goondiwindi,4390.0,,,Fuelling Innovation In Regional Queensland,Goondiwindi,4390.0,,2019-08-19,Goondiwindi (R),Darling Downs,Southern Downs,100000
407,Ignite Ideas Fund,Aq Ignite Ideas Fund 2019-20 Round 6,Cybermetrix Pty Ltd,Fortitude Valley,4006.0,,,Cyberturity® Pro 3Rd Party Digital Trust Platform,Fortitude Valley,4006.0,,2020-05-08,Brisbane (C),Brisbane And Redlands,Mcconnel,100000
408,Ignite Ideas Fund,Aq Ignite Ideas Fund 2019-20 Round 6,Cogniom Pty Ltd,Brisbane City,4000.0,,,Cogniom'S Tandm Suite,Brisbane City,4000.0,,2020-05-08,Brisbane (C),Brisbane And Redlands,Mcconnel,100000
409,Ignite Ideas Fund,Aq Ignite Ideas Fund 2019-20 Round 6,Health Management Pty Ltd,Westcourt,4870.0,,,Sophus Nutrition Commercialisation,Westcourt,4870.0,,2020-05-08,Cairns (R),Far North Queensland,Cairns,200000
410,Ignite Ideas Fund,Aq Ignite Ideas Fund 2019-20 Round 6,Engag3D Pty Ltd,North Lakes,4509.0,,,Engag3D Autonomous Marketing Using Smartskills,North Lakes,4509.0,,2020-05-08,Moreton Bay (R),Moreton Bay,Bancroft,150000
411,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Weko Pty Ltd,New Farm,4005.0,,,Wekogp (General Practice),New Farm,4005.0,"Brisbane, Queensland",2019-08-19,Brisbane (C),Brisbane And Redlands,Mcconnel,100000
412,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Vostronet (Australia) Pty Ltd,Brisbane City,4000.0,,,Commercialisation Of Privatemesh Vlan Technology,Brisbane City,4000.0,,2019-08-19,Brisbane (C),Brisbane And Redlands,Mcconnel,200000
413,Ignite Ideas Fund,Aq Ignite Ideas Fund 2019-20 Round 6,Bankedge Pty Ltd,Kalinga,4030.0,,,Bank Margin Reviews As A Service,Kalinga,4030.0,,2020-05-08,Brisbane (C),Brisbane And Redlands,Clayfield,80000
414,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Yodal Pty Ltd,Newstead,4006.0,,,Yodal Scale,Newstead,4006.0,"Cairns, Qld, Townsville Qld, Rockhampton Qld, Mackay Qld, Gympie Qld",2019-08-19,Brisbane (C),Brisbane And Redlands,Mcconnel,90000
415,Ignite Ideas Fund,Aq Ignite Ideas Fund 2019-20 Round 6,Heartbeat Enterprises Pty Ltd,Augustine Heights,4300.0,,,Commercialisation Of Squizify Food Safety Technology Platform,Augustine Heights,4300.0,,2020-05-08,Ipswich (C),Ipswich,Jordan,90000
416,Ignite Ideas Fund,Aq Ignite Ideas Fund 2019-20 Round 6,Workguru Pty Ltd,Greenslopes,4007.0,,,Enabling Qld Manufacturing With Workguru.Io,Tarragindi,4121.0,,2020-05-08,Brisbane (C),Brisbane And Redlands,Greenslopes,100000
417,Ignite Ideas Fund,Aq Ignite Ideas Fund 2019-20 Round 6,The Trustee For The Ride Free Media Trust T/A Ride Free Media,West End,4101.0,,,Wrappt National Expansion,West End,4101.0,,2020-05-08,Brisbane (C),Brisbane And Redlands,South Brisbane,200000
418,Ignite Ideas Fund,Aq Ignite Ideas Fund 2020-21 Round 7,Amtac Professional Services Pty Ltd,Greenbank,4124.0,,,Backflowid,Greenbank,4124.0,,2020-12-02,Logan (C),Logan,Logan,99603
419,Ignite Ideas Fund,Aq Ignite Ideas Fund 2019-20 Round 6,Yodel Digital Pty Ltd,Yarrabilba,4207.0,,,Yodel Commercialisation Project,Yarrabilba,4207.0,,2020-05-08,Logan (C),Logan,Logan,100000
420,Ignite Ideas Fund,Aq Ignite Ideas Fund 2019-20 Round 6,Shop Ferret Pty Ltd,Bungalow,4870.0,,,Qld Tourism Boost With Chat2Concierge!,Bungalow,4870.0,,2020-05-08,Cairns (R),Far North Queensland,Cairns,100000
421,Ignite Ideas Fund,Aq Ignite Ideas Fund 2019-20 Round 6,Next World Enterprises Pty Ltd,Morningside,4170.0,,,Build Your Own Vr Induction,Morningside,4170.0,,2020-05-08,Brisbane (C),Brisbane And Redlands,Bulimba,100000
422,Ignite Ideas Fund,Aq Ignite Ideas Fund 2019-20 Round 6,Sonder Place Pty Ltd,Teneriffe,4005.0,,,Waste To Workwear  Beautex Launch,Teneriffe,4005.0,,2020-05-08,Brisbane (C),Brisbane And Redlands,Mcconnel,50000
423,Ignite Ideas Fund,Aq Ignite Ideas Fund 2019-20 Round 6,Skynet Satellite Communications Pty Ltd,Newmarket,4051.0,,,Skynet Commercial Ads-B,Newmarket,4051.0,,2020-05-08,Brisbane (C),Brisbane And Redlands,Stafford,104000
424,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Vorteil.Io Pty Ltd,Varsity Lakes,4227.0,,,Vorteil - A Cloud Operating System,Varsity Lakes,4227.0,,2019-08-19,Gold Coast (C),Gold Coast,Mermaid Beach,200000
425,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Orefox Pty Ltd,Brisbane City,4000.0,,,Orefox Scale And Acquisition,Brisbane City,4000.0,"Brisbane City, Qld; Fortitude Valley, Qld; Warwick, Qld; Charters Towers, Qld; Gympie, Qld; Kilkivan, Qld; Rockhampton, Qld",2019-08-19,Brisbane (C),Brisbane And Redlands,Mcconnel,100000
426,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Norbit Software Pty Ltd,Stones Corner,4120.0,,,Saas Loyalty Solution For Precincts,Stones Corner,4120.0,,2019-08-19,Brisbane (C),Brisbane And Redlands,Greenslopes,100000
427,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Q L Spacer Blocks Pty Ltd,Ipswich,4305.0,,,Q L Medical,Ipswich,4305.0,,2019-08-19,Ipswich (C),Ipswich,Ipswich,200000
428,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Physiotherapy Innovations Pty Ltd,Cornubia,4130.0,,,International Commercialisation Of Therabubble™,Cornubia,4130.0,,2019-08-19,Logan (C),Logan,Macalister,100000
429,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Nethealth Pty Ltd,Sippy Downs,4556.0,,,Commercialisation Of Net-Healthdata In Australia,Sippy Downs,4556.0,"Eagle Farm, Queensland; Sunshine Coast, Queensland",2019-08-19,Sunshine Coast (R),Sunshine Coast,Buderim,99500
430,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Micromelon Pty Ltd,Albany Creek,4035.0,,,Micromelon Robotics,Albany Creek,4035.0,"Darra, Queensland",2019-08-19,Moreton Bay (R),Moreton Bay,Everton,100000
431,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Noisenet Operations Pty Ltd,Balmoral,4171.0,,,Smart Noise Monitoring Global Rollout,Balmoral,4171.0,"Brisbane, Qld     Scottsdale, Arizona",2019-08-19,Brisbane (C),Brisbane And Redlands,Bulimba,50000
432,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Nexusmyst Pty Ltd,Brendale,4500.0,,,Commercialising Nexusmyst For Law Enforcement,Brendale,4500.0,Ferny Grove Qld,2019-08-19,Moreton Bay (R),Moreton Bay,Pine Rivers,90000
433,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Rapidaim Pty Ltd,Highgate Hill,4101.0,,,Commercialising Rapidaim Real-Time Insect Monitoring,Fortitude Valley,4006.0,"'Bundaberg, Qld'; 'Stanthorpe, Qld'; 'Yarra Valley, Vic'; 'Shepparton, Vic'",2019-08-19,Brisbane (C),Brisbane And Redlands,South Brisbane,100000
434,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Swift Performance Pty Ltd,Wacol,4076.0,,,Athletic Movement Monitoring,Wacol,4076.0,"Banyo Qld, Rosedale Nz",2019-08-19,Brisbane (C),Ipswich,Inala,200000
435,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Sportech Industries Pty Ltd,Wavell Heights,4012.0,,,Mycall No Ball Detector (‘Mycall’),Fortitude Valley,4006.0,,2019-08-19,Brisbane (C),Brisbane And Redlands,Mcconnel,100000
436,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Unified Ar System Pty Ltd,Newstead,4006.0,,,Unifiedar - Distribution Commercialisation Project,Newstead,4006.0,,2019-08-19,Brisbane (C),Brisbane And Redlands,Mcconnel,100000
437,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Talkvia Enterprise Pty Ltd,Newstead,4006.0,,,Automating Voice Access To Services,Newstead,4006.0,,2019-08-19,Brisbane (C),Brisbane And Redlands,Mcconnel,199999
438,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Sensor Bridge Technologies Pty Ltd,Bargara,4670.0,,,Smart Irrigation System,Bundaberg Central,4670.0,,2019-08-19,Bundaberg (R),Wide Bay,Burnett,99462
439,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Rr Tek Pty Ltd,Oxenford,4210.0,,,Adding Value To Waste-Water Treatment,Oxenford,4210.0,Will Need To Rent Space For Assembly Of Pilot - Proposed Site Available,2019-08-19,Gold Coast (C),Gold Coast,Theodore,95000
440,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Sitesee Pty Ltd,Fortitude Valley,4006.0,,,Ai Infrastructure Analysis,Fortitude Valley,4006.0,,2019-08-19,Brisbane (C),Brisbane And Redlands,Mcconnel,160000
441,Ignite Ideas Fund,Aq Ignite Ideas Fund 2018-19 Round 5,Simpori Pty Ltd,Caloundra West,4551.0,,,Innovative Sanitation Of Poultry Sheds,Caloundra West,4551.0,"Beerwah, Qld; Sydney, Nsw; Overseas",2019-08-19,Sunshine Coast (R),Sunshine Coast,Kawana,100000
442,Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Eidsvold Siltstone Pty Ltd,Eidsvold,4627.0,,,Eidsvold Siltstone Metakaolin Project,Eidsvold,4627.0,,2017-03-09,North Burnett (R),Wide Bay,Callide,56400
443,Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Emclarity Pty Ltd,Tennyson,4105.0,,,Usa Exomux Customer Trials,Tennyson,4105.0,,2017-03-09,Brisbane (C),Brisbane And Redlands,Miller,208000
444,Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Eftlab Pty Ltd,Sandgate,4017.0,,,Babylon Payment Switch - Flexible And Secure Payment Gateway For The Electronic Payments Industry,Sandgate,4017.0,,2017-03-09,Brisbane (C),Brisbane And Redlands,Sandgate,249150
445,Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Darling Downs Ice Cream Company Pty Ltd,Toowoomba West,4350.0,,,"Development And Export Of Innovative, Functional Ice Cream Products",Wilsonton,4350.0,,2017-03-09,Toowoomba (R),Darling Downs,Toowoomba North,50000
446,Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Desygner Pty Ltd,Surfers Paradise,4217.0,,,Desygner Branding - A Branded User-Generated Enterprise Marketing Solution,Southport,4215.0,,2017-03-09,Gold Coast (C),Gold Coast,Surfers Paradise,96000
447,Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Eng Access Pty Ltd,Dayboro,4521.0,,,Eng Access: Professional Engineering On Demand.,Dayboro,4521.0,,2017-03-09,Moreton Bay (R),Moreton Bay,Pine Rivers,100000
448,Ignite Ideas Fund,Aq Ignite Ideas Fund 2016-17 Round 2,Gpsi Group Pty Ltd,Brisbane City,4000.0,,,Target Zero - Zero Vehicle Accidents And Injuries,Newstead,4006.0,,2017-03-10,Brisbane (C),Brisbane And Redlands,Mcconnel,100000
